SALE TYPE,PROPERTY TYPE,CITY,zipcode,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,LATITUDE,LONGITUDE,num_school,school_rating_mean,Bayes_RatingSchool,crime_percentage
PAST SALE,Single Family Residential,Auburn,98001,549950.0,3.0,2.0,Auburn,1340.0,9600.0,1964.0,13.0,410.0,47.2872068,-122.2781383,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,819950.0,4.0,2.5,West Hill,2414.0,5872.0,2024.0,1.0,340.0,47.3268517,-122.2617182,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,860675.0,5.0,3.5,West Hill,2853.0,6804.0,2023.0,127.0,302.0,47.3268517,-122.2617182,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,879950.0,5.0,3.0,West Hill,2904.0,5446.0,2024.0,1.0,303.0,47.3268517,-122.2617182,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,782700.0,4.0,2.5,West Hill,2039.0,4556.0,2024.0,1.0,384.0,47.3268517,-122.2617182,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,865950.0,5.0,3.5,West Hill,2603.0,8261.0,2023.0,112.0,333.0,47.3268517,-122.2617182,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,809950.0,5.0,3.0,West Hill,2394.0,4951.0,2024.0,99.0,338.0,47.3268517,-122.2617182,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,968000.0,4.0,3.0,West Hill,3341.0,6129.0,2018.0,1.0,290.0,47.3327835,-122.2542825,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,824500.0,4.0,2.5,East Auburn,2420.0,9017.0,2013.0,1.0,341.0,47.3002672,-122.2635282,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,559950.0,3.0,2.0,West Hill,1725.0,9800.0,1966.0,1.0,325.0,47.3461218,-122.2715467,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Federal Way,98001,700000.0,4.0,2.0,North Lake,1706.0,5715.0,2012.0,1.0,410.0,47.3052658,-122.2771747,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,689000.0,5.0,3.0,West Auburn,2410.0,11249.0,1985.0,1.0,286.0,47.329436,-122.2568082,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,860000.0,4.0,2.0,Federal Way,2152.0,37368.0,1977.0,1.0,400.0,47.2834162,-122.2786985,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,629950.0,3.0,2.0,5 Mile Lake,1620.0,36000.0,1968.0,1.0,389.0,47.2649268,-122.2735599,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,Single Family Residential,Auburn,98001,675000.0,4.0,1.5,Lake Dolloff,2580.0,48446.0,1943.0,1.0,262.0,47.3247929,-122.289396,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,885675.0,5.0,3.5,West Hill,2853.0,6097.0,2024.0,1.0,310.0,47.3268565,-122.2617113,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,Single Family Residential,Auburn,98001,654000.0,4.0,2.5,Auburn,1660.0,7740.0,1966.0,1.0,394.0,47.3405338,-122.2897037,11,1.4545454545454546,1.9962476547842405,28.96
