SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1531 NW 90th St,Seattle,WA,98117,1550000,4,4.0,Ballard,3180,7800,1957,3,487,,Active,,,https://www.redfin.com/WA/Seattle/1531-NW-90th-St-98117/home/100801,NWMLS as Distributed by MLS Grid,2237151,N,Y,47.694581456,-122.3782213
PAST SALE,,Townhouse,9215 A 14th Ave NW,Seattle,WA,98117,704900,2,2.0,Crown Hill,1152,815,2024,1,612,49,Pending,,,https://www.redfin.com/WA/Seattle/9215-14th-Ave-NW-98117/home/190690833,NWMLS as Distributed by MLS Grid,2181084,N,Y,47.6964644,-122.3743152
PAST SALE,,Townhouse,8520 16th Ave NW Unit B,Seattle,WA,98117,759000,2,2.0,Crown Hill,1476,630,2023,55,514,,Pending,,,https://www.redfin.com/WA/Seattle/8520-16th-Ave-NW-98117/unit-B/home/190265455,NWMLS as Distributed by MLS Grid,2214171,N,Y,47.6912487,-122.3776057
PAST SALE,December-1-2011,Single Family Residential,8819 27th Ave NW,Seattle,WA,98117,1275000,3,3.0,North Beach,2390,7888,1959,1,533,,Pending,,,https://www.redfin.com/WA/Seattle/8819-27th-Ave-NW-98117/home/164068,NWMLS as Distributed by MLS Grid,2237612,N,Y,47.6934088,-122.3911403
PAST SALE,,Townhouse,8326 B (SB-2) 13th Ave NW,Seattle,WA,98117,959900,3,2.5,Crown Hill,1794,1062,2024,1,535,23,Pending,,,https://www.redfin.com/WA/Seattle/8326-B-SB-2-13th-Ave-NW-98117/home/190297555,NWMLS as Distributed by MLS Grid,2150919,N,Y,47.68954,-122.372258
MLS Listing,,Single Family Residential,6724 18th Ave NW,Seattle,WA,98117,950000,3,2.5,Loyal Heights,1640,3570,1929,1,579,,Active,May-19-2024 01:00 PM,May-19-2024 04:00 PM,https://www.redfin.com/WA/Seattle/6724-18th-Ave-NW-98117/home/164295,NWMLS as Distributed by MLS Grid,2238195,N,Y,47.678482,-122.3797254
MLS Listing,,Townhouse,7731 B Mary Ave NW,Seattle,WA,98117,964950,3,2.0,Whittier,1694,1454,2024,1,570,,Active,,,https://www.redfin.com/WA/Seattle/7731-Mary-Ave-NW-98117/home/496456,NWMLS as Distributed by MLS Grid,2232464,N,Y,47.6860051,-122.3757761
MLS Listing,,Single Family Residential,7519 28th Ave NW,Seattle,WA,98117,1150000,6,2.5,Ballard,2870,7023,1945,1,401,,Active,,,https://www.redfin.com/WA/Seattle/7519-28th-Ave-NW-98117/home/164887,NWMLS as Distributed by MLS Grid,2238551,N,Y,47.6837043,-122.393348
MLS Listing,,Condo/Co-op,7029 25th Ave NW Unit B,Seattle,WA,98117,839950,2,1.5,Loyal Heights,1069,1,2024,1,786,81,Active,May-18-2024 11:00 AM,May-18-2024 01:00 PM,https://www.redfin.com/WA/Seattle/7029-25th-Ave-NW-98117/unit-B/home/190814294,NWMLS as Distributed by MLS Grid,2238956,N,Y,47.6803475,-122.3890067
MLS Listing,,Townhouse,8747 NW 14th Ave Unit D,Seattle,WA,98117,1199999,4,2.5,Crown Hill,1923,1676,2021,1,624,,Active,May-17-2024 04:00 PM,May-17-2024 06:00 PM,https://www.redfin.com/WA/Seattle/8747-14th-Ave-NW-98117/unit-D/home/175727744,NWMLS as Distributed by MLS Grid,2239111,N,Y,47.6934005,-122.37432
MLS Listing,,Townhouse,809 NW 97th St Unit B,Seattle,WA,98117,796000,3,3.5,Greenwood,1460,1200,2006,1,545,,Active,,,https://www.redfin.com/WA/Seattle/809-NW-97th-St-98117/unit-B/home/12303931,NWMLS as Distributed by MLS Grid,2239008,N,Y,47.6999709,-122.3665874
MLS Listing,,Single Family Residential,6747 11th Ave NW,Seattle,WA,98117,769000,3,2.0,Whittier,1210,4441,1908,1,636,,Active,,,https://www.redfin.com/WA/Seattle/6747-11th-Ave-NW-98117/home/498576,NWMLS as Distributed by MLS Grid,2238809,N,Y,47.6791837,-122.3711703
MLS Listing,,Single Family Residential,9524 6th Ave NW,Seattle,WA,98117,679000,1,1.0,Greenwood,820,8003,1950,1,828,,Active,,,https://www.redfin.com/WA/Seattle/9524-6th-Ave-NW-98117/home/100577,NWMLS as Distributed by MLS Grid,2236779,N,Y,47.6987054,-122.3630809
MLS Listing,,Townhouse,8507 17th Ave NW,Seattle,WA,98117,878655,4,2.5,Loyal Heights,1790,1977,2008,1,491,,Active,,,https://www.redfin.com/WA/Seattle/8507-17th-Ave-NW-98117/home/18658100,NWMLS as Distributed by MLS Grid,2238669,N,Y,47.6908677,-122.3793534
MLS Listing,,Multi-Family (2-4 Unit),7309 26th Ave NW,Seattle,WA,98117,970000,4,2.0,Loyal Heights,1970,4250,1908,1,492,,Active,May-19-2024 01:00 PM,May-19-2024 03:00 PM,https://www.redfin.com/WA/Seattle/7309-26th-Ave-NW-98117/home/165242,NWMLS as Distributed by MLS Grid,2238733,N,Y,47.6816222,-122.3900284
PAST SALE,,Townhouse,1523 C NW 90th St,Seattle,WA,98117,865000,2,2.5,Olympic Manor,1560,1079,2016,1,554,,Pending,,,https://www.redfin.com/WA/Seattle/1523C-NW-90th-St-98117/home/190732466,NWMLS as Distributed by MLS Grid,2235290,N,Y,47.6943109,-122.3780791
PAST SALE,April-21-2017,Condo/Co-op,6535 Seaview Ave NW Unit B512,Seattle,WA,98117,875000,2,2.0,Sunset Hill,1120,493025,1968,1,781,1185,Pending,,,https://www.redfin.com/WA/Seattle/6535-Seaview-Ave-NW-98117/unit-B512/home/113457777,NWMLS as Distributed by MLS Grid,2229129,N,Y,47.6762011,-122.4076842
MLS Listing,,Townhouse,8543 14th Ave NW Unit B,Seattle,WA,98117,927500,3,2.0,Crown Hill,1694,905,2024,1,548,,Active,,,https://www.redfin.com/WA/Seattle/8543-14th-Ave-NW-98117/unit-B/home/190806097,NWMLS as Distributed by MLS Grid,2237492,N,Y,47.6911305,-122.3741068
MLS Listing,,Condo/Co-op,8009 27th Ave NW,Seattle,WA,98117,1175000,3,2.5,Loyal Heights,1705,1293,2024,1,689,90,Active,May-18-2024 12:00 PM,May-18-2024 03:00 PM,https://www.redfin.com/WA/Seattle/8009-27th-Ave-NW-98117/home/165953,NWMLS as Distributed by MLS Grid,2236929,N,Y,47.6871513,-122.3911258
MLS Listing,,Condo/Co-op,8009 27th Ave NW Unit B,Seattle,WA,98117,729950,2,2.0,Loyal Heights,1095,547,2024,1,667,90,Active,May-18-2024 12:00 PM,May-18-2024 03:00 PM,https://www.redfin.com/WA/Seattle/8009-27th-Ave-NW-98117/unit-B/home/190806011,NWMLS as Distributed by MLS Grid,2236936,N,Y,47.6871555,-122.3911567
