SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,June-22-2012,Single Family Residential,5830 302nd Ave NE,Carnation,WA,98014,1099000,3,3.0,Ames Lake,2880,216057,1971,13,382,,Pending,,,https://www.redfin.com/WA/Carnation/5830-302nd-Ave-NE-98014/home/447538,NWMLS as Distributed by MLS Grid,2223314,N,Y,47.6585449,-121.930973
MLS Listing,,Single Family Residential,29935 NE Tolt Hill Rd,Carnation,WA,98014,4988000,3,3.5,Carnation,4050,528076,1980,27,1232,,Active,,,https://www.redfin.com/WA/Carnation/29935-NE-Tolt-Hill-Rd-98014/home/446949,NWMLS as Distributed by MLS Grid,2222982,N,Y,47.6322333,-121.9399494
PAST SALE,,Vacant Land,0 312th Ave NE,Carnation,WA,98014,21000,,,Lake Marcel,,18102,,1,,27,Pending,,,https://www.redfin.com/WA/Lake-Marcel-Stillwater/312th-Ave-NE-98014/home/190507910,NWMLS as Distributed by MLS Grid,2221029,N,Y,47.696044,-121.922624
MLS Listing,,Single Family Residential,5077 327th Ave NE,Carnation,WA,98014,1235000,5,2.5,Carnation,3296,11345,2017,1,375,65,Active,May-17-2024 05:00 PM,May-17-2024 07:00 PM,https://www.redfin.com/WA/Carnation/5077-327th-Ave-NE-98014/home/106723776,NWMLS as Distributed by MLS Grid,2239032,N,Y,47.6525803,-121.9037496
MLS Listing,,Single Family Residential,4384 333rd Pl NE,Carnation,WA,98014,1450000,5,3.0,Carnation,3668,7513,2022,1,395,78,Active,May-17-2024 04:00 PM,May-17-2024 06:00 PM,https://www.redfin.com/WA/Carnation/4384-333rd-Pl-NE-98014/home/175253309,NWMLS as Distributed by MLS Grid,2236860,N,Y,47.6470141,-121.8936628
PAST SALE,,Single Family Residential,1806 285th Pl NE,Carnation,WA,98014,2950000,5,5.0,Carnation,4370,105506,2022,3,675,,Pending,,,https://www.redfin.com/WA/Carnation/1806-285th-Pl-NE-98014/home/175629788,NWMLS as Distributed by MLS Grid,2231899,N,Y,47.6248645,-121.9554981
PAST SALE,November-3-2021,Single Family Residential,5040 327th Ave NE,Carnation,WA,98014,1100000,3,2.5,Carnation,2274,7559,2015,4,484,65,Pending,,,https://www.redfin.com/WA/Carnation/5040-327th-Ave-NE-98014/home/106723577,NWMLS as Distributed by MLS Grid,2228356,N,Y,47.6520784,-121.9032325
PAST SALE,,Single Family Residential,3616 Grace Ave,Carnation,WA,98014,1378950,4,4.5,Carnation,3437,5000,2024,5,401,68,Pending,,,https://www.redfin.com/WA/Carnation/3616-Grace-AVE-98014/home/190268780,NWMLS as Distributed by MLS Grid,2213534,N,Y,47.640139,-121.913726
PAST SALE,,Vacant Land,4645 Tolt Ave,Carnation,WA,98014,775000,,,Downtown Carnation,,11488,,6,,,Pending,,,https://www.redfin.com/WA/Carnation/4645-Tolt-Ave-98014/home/175653299,NWMLS as Distributed by MLS Grid,2205761,N,Y,47.6492616,-121.9136974
MLS Listing,,Single Family Residential,33819 NE 52nd Way,Carnation,WA,98014,2850000,4,3.5,Tolt,4400,1006236,2004,9,648,58,Active,,,https://www.redfin.com/WA/Carnation/33819-NE-52nd-Way-98014/home/2082238,NWMLS as Distributed by MLS Grid,2231025,N,Y,47.649211,-121.888589
MLS Listing,,Single Family Residential,32321 E Rutherford St,Carnation,WA,98014,869000,3,2.5,Downtown Carnation,1970,5041,2015,14,441,,Active,,,https://www.redfin.com/WA/Carnation/32321-E-Rutherford-St-98014/home/101611158,NWMLS as Distributed by MLS Grid,2228266,N,Y,47.6499783,-121.9081283
PAST SALE,April-15-2022,Vacant Land,7930 327th Ave NE,Carnation,WA,98014,985000,,,Carnation,,865201,,15,,,Pending,,,https://www.redfin.com/WA/Carnation/7930-327th-Ave-NE-98014/home/2064879,NWMLS as Distributed by MLS Grid,2219197,N,Y,47.674133,-121.904058
PAST SALE,,Vacant Land,33800 NE North Fork Rd,Carnation,WA,98014,299000,,,Lake Joy,,287496,,16,,,Pending,,,https://www.redfin.com/WA/Carnation/33800-NE-N-Fork-Rd-98014/home/171349630,NWMLS as Distributed by MLS Grid,2222837,N,Y,47.7139257,-121.8863761
PAST SALE,May-28-2021,Single Family Residential,31919 NE 16th St,Carnation,WA,98014,4919950,3,2.5,Carnation,3810,2356708,1972,22,1291,,Pending,,,https://www.redfin.com/WA/Carnation/31919-NE-16th-St-98014/home/442568,NWMLS as Distributed by MLS Grid,2220050,N,Y,47.6222851,-121.913037
PAST SALE,,Single Family Residential,11831 338th Ave NE,Carnation,WA,98014,1420000,3,3.0,Lake Joy,2800,146362,2001,23,507,83,Pending,,,https://www.redfin.com/WA/Carnation/11831-338th-Ave-NE-98014/home/441640,NWMLS as Distributed by MLS Grid,2214781,N,Y,47.7043107,-121.887403
MLS Listing,,Single Family Residential,3644 Grace Ave,Carnation,WA,98014,1389950,4,4.5,Carnation,3593,5000,2024,24,387,68,Active,,,https://www.redfin.com/WA/Carnation/3644-Grace-AVE-98014/home/190570032,NWMLS as Distributed by MLS Grid,2226980,N,Y,47.64091110229492,-121.90958404541016
PAST SALE,,Single Family Residential,3630 Grace Ave,Carnation,WA,98014,1304450,4,2.5,Carnation,3001,5000,2024,26,435,68,Pending,,,https://www.redfin.com/WA/Carnation/3630-Grace-AVE-98014/home/190268782,NWMLS as Distributed by MLS Grid,2213491,N,Y,47.640071,-121.91372
MLS Listing,,Vacant Land,0 X SE 3rd St,Carnation,WA,98104,240000,,,Carnation,,60112,,29,,,Active,,,https://www.redfin.com/WA/Seattle/0-X-SE-3rd-ST-98104/home/190540605,NWMLS as Distributed by MLS Grid,2221124,N,Y,47.605875,-121.906726
MLS Listing,,Single Family Residential,10219 Kelly Rd NE,Carnation,WA,98014,3750000,4,3.0,Carnation,3590,1164794,2016,29,1045,,Active,,,https://www.redfin.com/WA/Carnation/10219-Kelly-Rd-NE-98014/home/441010,NWMLS as Distributed by MLS Grid,2223559,N,Y,47.6891378,-121.9077446
MLS Listing,,Multi-Family (2-4 Unit),4453 Tolt Ave,Carnation,WA,98014,950000,5,4.5,Downtown Carnation,2310,15000,1900,30,411,,Active,,,https://www.redfin.com/WA/Carnation/4453-Tolt-Ave-98014/home/519826,NWMLS as Distributed by MLS Grid,2224149,N,Y,47.6475108,-121.9150043
PAST SALE,,Mobile/Manufactured Home,9801 Kelly Rd NE,Carnation,WA,98014,450000,1,1.0,Stillwater,1848,73616,1981,45,244,,Pending,,,https://www.redfin.com/WA/Carnation/9801-320th-Way-NE-98014/home/2077600,NWMLS as Distributed by MLS Grid,2203203,N,Y,47.685492,-121.910407
MLS Listing,,Vacant Land,0 Carnation-Duvall Rd NE,Carnation,WA,98104,295000,,,Stillwater,,213879,,70,,,Active,,,https://www.redfin.com/WA/Seattle/Carnation-Duvall-RD-NE-98104/home/190053222,NWMLS as Distributed by MLS Grid,2203411,N,Y,47.675557,-121.918502
