SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download",,,,,,,,,,,,,,,,,,,,,,,,,,
PAST SALE,,Condo/Co-op,101 101st Ave SE Unit 202B,Bellevue,WA,98004,1697000,2,2,West Bellevue,1681,,1975,5,1010,1683,Pending,,,https://www.redfin.com/WA/Bellevue/101-101st-Ave-SE-98004/unit-202B/home/63511,NWMLS as Distributed by MLS Grid,2232623,N,Y,47.6082045,-122.2068136
PAST SALE,March-8-2019,Condo/Co-op,10700 NE 4th St #706,Bellevue,WA,98004,1119000,1,1.5,Downtown,1352,,2008,16,828,1115,Pending,,,https://www.redfin.com/WA/Bellevue/10700-NE-4th-St-98004/unit-706/home/21882658,NWMLS as Distributed by MLS Grid,2217478,N,Y,47.6141801,-122.1977166
MLS Listing,,Condo/Co-op,420 Bellevue Way SE #103,Bellevue,WA,98004,990000,3,2.5,West Bellevue,1704,,1994,49,581,730,Active,,,https://www.redfin.com/WA/Bellevue/420-Bellevue-Way-SE-98004/unit-103/home/56559,NWMLS as Distributed by MLS Grid,2214761,N,Y,47.6062808,-122.2010151
MLS Listing,,Townhouse,10411 NE 32nd Pl Unit B102,Bellevue,WA,98004,625000,2,1.5,Bellevue,1159,,1980,62,539,615,Active,,,https://www.redfin.com/WA/Bellevue/10411-NE-32nd-Pl-98004/unit-B102/home/46568,NWMLS as Distributed by MLS Grid,2209712,N,Y,47.639316,-122.2011535
MLS Listing,,Condo/Co-op,130 105th Ave SE Unit A108,Bellevue,WA,98004,475000,2,1,Downtown,835,,1959,99,569,760,Active,,,https://www.redfin.com/WA/Bellevue/130-105th-Ave-SE-98004/unit-A108/home/12093202,NWMLS as Distributed by MLS Grid,2197196,N,Y,47.6091817,-122.1991604
PAST SALE,,Condo/Co-op,10232 NE 10th St #1701,Bellevue,WA,98004,2349000,3,2,Downtown,1496,,2024,1,1570,1556,Pending,,,https://www.redfin.com/WA/Bellevue/10232-NE-10th-St-98004/unit-1701/home/185809921,NWMLS as Distributed by MLS Grid,2224967,N,Y,47.6195335,-122.2032468
PAST SALE,,Condo/Co-op,10232 NE 10th St #1607,Bellevue,WA,98004,2499000,3,2,Downtown,1544,,2024,1,1619,1605,Pending,,,https://www.redfin.com/WA/Bellevue/10232-NE-10th-St-98004/unit-1607/home/190638895,NWMLS as Distributed by MLS Grid,2230722,N,Y,47.6195335,-122.2032468
MLS Listing,,Condo/Co-op,9909 NE 1st St #203,Bellevue,WA,98004,799000,2,2,Downtown,1156,,1970,1,691,524,Active,,,https://www.redfin.com/WA/Bellevue/9909-NE-1st-St-98004/unit-203/home/2062473,NWMLS as Distributed by MLS Grid,2238621,N,Y,47.6116729,-122.2081162
MLS Listing,,Condo/Co-op,1100 106th Ave NE #511,Bellevue,WA,98004,769900,2,2,Downtown Bellevue,1109,43078,2002,1,694,1196,Active,May-18-2024 01:00 PM,May-18-2024 03:00 PM,https://www.redfin.com/WA/Bellevue/1100-106th-Ave-NE-98004/unit-511/home/2084658,NWMLS as Distributed by MLS Grid,2228434,N,Y,47.6203603,-122.1987406
MLS Listing,,Single Family Residential,106 97th Ave NE,Bellevue,WA,98004,5795000,5,5.5,Bellevue,5594,15292,2018,1,1036,,Active,May-18-2024 01:00 PM,May-18-2024 03:00 PM,https://www.redfin.com/WA/Bellevue/106-97th-Ave-NE-98004/home/251563,NWMLS as Distributed by MLS Grid,2235681,N,Y,47.6137964,-122.2110772
MLS Listing,,Townhouse,10610 NE 9th Pl Unit TH19,Bellevue,WA,98004,1780000,2,3.5,Downtown,3192,,2008,1,558,3440,Active,,,https://www.redfin.com/WA/Bellevue/10610-NE-9th-Pl-98004/unit-TH19/home/190806372,NWMLS as Distributed by MLS Grid,2237166,N,Y,47.6186482,-122.1983422
MLS Listing,,Condo/Co-op,511 100th Ave NE #210,Bellevue,WA,98004,639900,1,1,Downtown,643,,1959,1,995,419,Active,May-18-2024 01:00 PM,May-18-2024 03:00 PM,https://www.redfin.com/WA/Bellevue/511-100th-Ave-NE-98004/unit-210/home/190806295,NWMLS as Distributed by MLS Grid,2238542,N,Y,47.6154597,-122.2074112
PAST SALE,,Condo/Co-op,838 103rd Ave NE Unit 26xx,Bellevue,WA,98004,14350000,3,3.5,Downtown,4772,,2023,1,3007,5821,Pending,,,https://www.redfin.com/WA/Bellevue/838-103rd-Ave-NE-98004/unit-26xx/home/186133890,NWMLS as Distributed by MLS Grid,2140349,N,Y,47.6186548,-122.203043
PAST SALE,,Condo/Co-op,838 103rd Ave NE #2502,Bellevue,WA,98004,8975000,3,3,Downtown,3018,,2023,1,2974,3705,Pending,,,https://www.redfin.com/WA/Bellevue/838-103rd-Ave-NE-98004/unit-2502/home/185648931,NWMLS as Distributed by MLS Grid,2071361,N,Y,47.6186548,-122.203043
PAST SALE,,Condo/Co-op,838 103rd Ave NE #2504,Bellevue,WA,98004,7375000,3,3,Downtown,2454,,2023,1,3005,3013,Pending,,,https://www.redfin.com/WA/Bellevue/838-103rd-Ave-NE-98004/unit-2504/home/185656367,NWMLS as Distributed by MLS Grid,2071369,N,Y,47.6186548,-122.203043
PAST SALE,,Condo/Co-op,889 103rd Ave NE #301,Bellevue,WA,98004,1499000,2,2,Downtown,998,,2023,1,1502,989,Pending,,,https://www.redfin.com/WA/Bellevue/889-103rd-Ave-NE-98004/unit-301/home/184708285,NWMLS as Distributed by MLS Grid,2031850,N,Y,47.6187501,-122.2030413
MLS Listing,,Multi-Family (2-4 Unit),1301 Bellevue Way SE,Bellevue,WA,98004,2550000,12,9,Bellevue,5782,20897,1980,1,441,,Active,,,https://www.redfin.com/WA/Bellevue/1301-Bellevue-Way-SE-98004/home/2070560,NWMLS as Distributed by MLS Grid,2238299,N,Y,47.5985702,-122.1996932
MLS Listing,,Single Family Residential,11030 SE 30th St,Bellevue,WA,98004,2300000,3,2.5,Enatai,2440,8089,1952,1,943,,Active,May-17-2024 04:00 PM,May-17-2024 06:00 PM,https://www.redfin.com/WA/Bellevue/11030-SE-30th-St-98004/home/510609,NWMLS as Distributed by MLS Grid,2228625,N,Y,47.5836189,-122.1928366
MLS Listing,,Single Family Residential,9516 NE 31st St,Clyde Hill,WA,98004,6995000,5,4.5,Clyde Hill,7030,20002,2007,1,995,,Active,May-18-2024 01:00 PM,May-18-2024 03:00 PM,https://www.redfin.com/WA/Clyde-Hill/9516-NE-31st-St-98004/home/252149,NWMLS as Distributed by MLS Grid,2237413,N,Y,47.6385847,-122.2141698
MLS Listing,,Vacant Land,9878 NE 34th Pl,Bellevue,WA,98004,950000,,,Clyde Hill,,16274,,2,,,Active,,,https://www.redfin.com/WA/Bellevue/9878-NE-34th-St-98004/home/171054801,NWMLS as Distributed by MLS Grid,2237833,N,Y,47.6417513,-122.2062373
MLS Listing,,Vacant Land,9858 NE 34th Pl,Bellevue,WA,98004,950000,,,Clyde Hill,,15308,,2,,,Active,,,https://www.redfin.com/WA/Bellevue/9858-NE-34th-St-98004/home/171054802,NWMLS as Distributed by MLS Grid,2237819,N,Y,47.6417528,-122.2062557
MLS Listing,,Condo/Co-op,10700 NE 4th St #1914,Bellevue,WA,98004,1650000,2,2,Downtown,1503,105864,2008,2,1098,1239,Active,,,https://www.redfin.com/WA/Bellevue/10700-NE-4th-St-98004/unit-1914/home/21883358,NWMLS as Distributed by MLS Grid,2237252,N,Y,47.6141801,-122.1977166
PAST SALE,,Condo/Co-op,838 103rd Ave NE #1104,Bellevue,WA,98004,1149000,1,1,Downtown,628,,2023,2,1830,770,Pending,,,https://www.redfin.com/WA/Bellevue/838-103rd-Ave-NE-98004/unit-1104/home/184921806,NWMLS as Distributed by MLS Grid,2051487,N,Y,47.6186548,-122.203043
PAST SALE,August-19-1986,Single Family Residential,1505 90th Pl NE,Clyde Hill,WA,98004,4999000,5,4.5,Clyde Hill,5933,21033,1964,2,843,,Pending,,,https://www.redfin.com/WA/Clyde-Hill/1505-90th-Pl-NE-98004/home/252422,NWMLS as Distributed by MLS Grid,2208789,N,Y,47.6239053,-122.2219466
PAST SALE,,Condo/Co-op,10000 Main St #307,Bellevue,WA,98004,880000,1,1.5,Downtown,946,,2009,2,930,1015,Pending,,,https://www.redfin.com/WA/Bellevue/10000-Main-St-98004/unit-307/home/190616309,NWMLS as Distributed by MLS Grid,2225561,N,Y,47.6103963,-122.2059619
PAST SALE,,Condo/Co-op,889 103rd Ave NE #901,Bellevue,WA,98004,1899000,2,2,Downtown,991,,2023,2,1916,1135,Pending,,,https://www.redfin.com/WA/Bellevue/889-103rd-Ave-NE-98004/unit-901/home/187484909,NWMLS as Distributed by MLS Grid,2161639,N,Y,47.6187501,-122.2030413
MLS Listing,,Single Family Residential,9404 NE 20th St,Clyde Hill,WA,98004,9250000,5,6.5,Clyde Hill,6516,14384,2018,2,1420,,Active,,,https://www.redfin.com/WA/Clyde-Hill/9404-NE-20th-St-98004/home/251383,NWMLS as Distributed by MLS Grid,2237174,N,Y,47.6284846,-122.2147162
MLS Listing,,Single Family Residential,10035 NE 26th St,Bellevue,WA,98004,5475000,4,5.5,West Bellevue,5082,20253,1965,2,1077,,Active,May-18-2024 12:00 PM,May-18-2024 02:00 PM,https://www.redfin.com/WA/Bellevue/10035-NE-26th-St-98004/home/506674,NWMLS as Distributed by MLS Grid,2237574,N,Y,47.633501,-122.2058172
MLS Listing,,Single Family Residential,2537 103 Ave SE,Bellevue,WA,98004,10588000,4,4.5,Enatai,3965,29579,1960,2,2670,,Active,May-18-2024 01:00 PM,May-18-2024 04:00 PM,https://www.redfin.com/WA/Bellevue/2537-103rd-Ave-SE-98004/home/253372,NWMLS as Distributed by MLS Grid,2235825,N,Y,47.587091,-122.205219
MLS Listing,,Single Family Residential,2643 106th Ave NE,Bellevue,WA,98004,1950000,3,2,Clyde Hill,1190,8346,1953,2,1639,,Active,,,https://www.redfin.com/WA/Bellevue/2643-106th-Ave-NE-98004/home/506221,NWMLS as Distributed by MLS Grid,2237264,N,Y,47.6345376,-122.1999869
PAST SALE,,Condo/Co-op,10232 NE 10th St #709,Bellevue,WA,98004,1439000,2,2,Downtown,1113,,2024,3,1293,992,Pending,,,https://www.redfin.com/WA/Bellevue/10232-NE-10th-St-98004/unit-709/home/188261027,NWMLS as Distributed by MLS Grid,2176860,N,Y,47.6195335,-122.2032468
PAST SALE,,Condo/Co-op,838 103rd Ave NE #2003,Bellevue,WA,98004,3569000,2,2,Downtown,1649,,2023,3,2164,2025,Pending,,,https://www.redfin.com/WA/Bellevue/838-103rd-Ave-NE-98004/unit-2003/home/185258688,NWMLS as Distributed by MLS Grid,2061069,N,Y,47.6186548,-122.203043
PAST SALE,March-2-2016,Condo/Co-op,10000 Main St #206,Bellevue,WA,98004,839950,1,1.5,Downtown,867,,2009,3,969,910,Pending,,,https://www.redfin.com/WA/Bellevue/10000-Main-St-98004/unit-206/home/12302158,NWMLS as Distributed by MLS Grid,2214712,N,Y,47.6103963,-122.2059619
PAST SALE,,Condo/Co-op,430 Bellevue Way SE #203,Bellevue,WA,98004,599000,2,2,Bellevue,856,,1979,3,700,485,Pending,,,https://www.redfin.com/WA/Bellevue/430-Bellevue-Way-SE-98004/unit-203/home/190253240,NWMLS as Distributed by MLS Grid,2221331,N,Y,47.6058927,-122.2009882
PAST SALE,,Single Family Residential,2025 87th Pl NE,Clyde Hill,WA,98004,2998000,5,3,Clyde Hill,3930,18259,1966,4,763,,Pending,,,https://www.redfin.com/WA/Clyde-Hill/2025-87th-Ave-NE-98004/home/251245,NWMLS as Distributed by MLS Grid,2235104,N,Y,47.629086,-122.2242592
PAST SALE,February-28-2013,Single Family Residential,10411 SE 20th St,Bellevue,WA,98004,3995000,4,3.5,Enatai,4070,9568,2008,5,982,,Pending,,,https://www.redfin.com/WA/Bellevue/10411-SE-20th-St-98004/home/511002,NWMLS as Distributed by MLS Grid,2230603,N,Y,47.5922115,-122.2007452
PAST SALE,March-31-2014,Condo/Co-op,500 106th Ave NE #2411,Bellevue,WA,98004,1590000,2,2,Downtown,1593,,2008,5,998,1314,Pending,,,https://www.redfin.com/WA/Bellevue/500-106th-Ave-NE-98004/unit-2411/home/21882834,NWMLS as Distributed by MLS Grid,2225855,N,Y,47.6144882,-122.1978236
PAST SALE,,Condo/Co-op,10232 NE 10th St #615,Bellevue,WA,98004,1094000,1,1,Downtown,849,,2024,5,1289,883,Pending,,,https://www.redfin.com/WA/Bellevue/10232-NE-10th-St-98004/unit-615/home/190094420,NWMLS as Distributed by MLS Grid,2208729,N,Y,47.6195335,-122.2032468
PAST SALE,,Single Family Residential,10503 Enatai Dr,Bellevue,WA,98004,2200000,3,3,Enatai,2530,11780,1977,5,870,,Pending,,,https://www.redfin.com/WA/Bellevue/10503-Enatai-Dr-98004/home/253598,NWMLS as Distributed by MLS Grid,2227700,N,Y,47.5827717,-122.2008556
PAST SALE,,Townhouse,1744 Bellevue Way NE,Bellevue,WA,98004,2088000,3,2.5,Bellevue,2458,411654,1987,5,849,979,Pending,,,https://www.redfin.com/WA/Bellevue/1744-Bellevue-Way-NE-98004/home/190668701,NWMLS as Distributed by MLS Grid,2232243,N,Y,47.626809,-122.2014468
PAST SALE,April-29-2019,Single Family Residential,2400 100th Ave NE,Bellevue,WA,98004,4350000,4,3.5,Clyde Hill,4440,14650,1992,5,980,,Pending,,,https://www.redfin.com/WA/Bellevue/2400-100th-Ave-NE-98004/home/506294,NWMLS as Distributed by MLS Grid,2208790,N,Y,47.6323233,-122.2068436
PAST SALE,,Condo/Co-op,10232 NE 10th St #803,Bellevue,WA,98004,629000,0,1,Downtown,464,,2024,5,1356,482,Pending,,,https://www.redfin.com/WA/Bellevue/10232-NE-10th-St-98004/unit-803/home/190094268,NWMLS as Distributed by MLS Grid,2208173,N,Y,47.6195335,-122.2032468
PAST SALE,October-12-2010,Single Family Residential,9225 NE 20th St,Clyde Hill,WA,98004,5188000,4,3.5,Clyde Hill,3610,16875,1950,5,1437,,Pending,,,https://www.redfin.com/WA/Clyde-Hill/9225-NE-20th-St-98004/home/252827,NWMLS as Distributed by MLS Grid,2219473,N,Y,47.6281033,-122.21675
PAST SALE,April-26-2010,Single Family Residential,9509 NE 1st St,Bellevue,WA,98004,8500000,4,4,Meydenbauer,6434,11984,2012,5,1321,,Pending,,,https://www.redfin.com/WA/Bellevue/9509-NE-1st-St-98004/home/22446048,NWMLS as Distributed by MLS Grid,2208792,N,Y,47.6147959,-122.2147093
PAST SALE,April-30-1992,Single Family Residential,1020 88th Ave NE,Bellevue,WA,98004,3680000,4,3,West Bellevue,3332,23499,1955,5,1104,,Pending,,,https://www.redfin.com/WA/Bellevue/1020-88th-Ave-NE-98004/home/251107,NWMLS as Distributed by MLS Grid,2232209,N,Y,47.6208484,-122.2216666
PAST SALE,October-10-1977,Single Family Residential,9429 Vineyard Crst,Bellevue,WA,98004,3400000,5,3,Vuecrest,3160,10897,1949,5,1076,25,Pending,,,https://www.redfin.com/WA/Bellevue/9429-Vineyard-Crst-98004/home/251261,NWMLS as Distributed by MLS Grid,2235215,N,Y,47.6190055,-122.2144501
PAST SALE,,Single Family Residential,109 109th Ave SE,Bellevue,WA,98004,1880000,5,2,Surrey Downs,2680,7564,1955,5,701,,Pending,,,https://www.redfin.com/WA/Bellevue/109-109th-Ave-SE-98004/home/510143,NWMLS as Distributed by MLS Grid,2233551,N,Y,47.609058,-122.1954312
PAST SALE,February-11-2020,Condo/Co-op,1601 102nd Pl NE Unit E-2,Bellevue,WA,98004,799000,3,2,Downtown,1300,,1974,6,615,768,Pending,,,https://www.redfin.com/WA/Bellevue/1601-102nd-Pl-NE-98004/unit-E-2/home/175950675,NWMLS as Distributed by MLS Grid,2234730,N,Y,47.6248122,-122.2039814
PAST SALE,January-20-2023,Single Family Residential,10241 NE 21st Pl,Bellevue,WA,98004,4800000,5,5,West Bellevue,4664,8640,2024,6,1029,,Pending,,,https://www.redfin.com/WA/Bellevue/10241-NE-21st-Pl-98004/home/505857,NWMLS as Distributed by MLS Grid,2195706,N,Y,47.6294506,-122.2032465
PAST SALE,,Single Family Residential,1411 112th Ave NE,Bellevue,WA,98004,1425000,3,1,West Bellevue,2300,9469,1950,6,620,,Pending,,,https://www.redfin.com/WA/Bellevue/1411-112th-Ave-NE-98004/home/506123,NWMLS as Distributed by MLS Grid,2224927,N,Y,47.6236626,-122.1914136
PAST SALE,January-12-1981,Single Family Residential,208 106th Ave SE,Bellevue,WA,98004,1450000,4,2,West Bellevue,1260,8276,1952,6,1151,,Pending,,,https://www.redfin.com/WA/Bellevue/208-106th-Ave-SE-98004/home/510630,NWMLS as Distributed by MLS Grid,2211812,N,Y,47.6079061,-122.1985595
