SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,zipcode,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,num_school,school_rating_mean,Bayes_RatingSchool,crime_percentage
PAST SALE,March-14-1991,Single Family Residential,4442 S 351st St,Auburn,WA,98001,549950.0,3.0,2.0,Auburn,1340.0,9600.0,1964.0,13.0,410.0,,Pending,,,https://www.redfin.com/WA/Auburn/4442-S-351st-St-98001/home/362753,NWMLS as Distributed by MLS Grid,2221171,N,Y,47.2872068,-122.2781383,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,,Condo/Co-op,28700 34th Ave S Unit M-3,Auburn,WA,98001,455000.0,2.0,2.0,Auburn,1280.0,,2003.0,15.0,355.0,325.0,Active,,,https://www.redfin.com/WA/Auburn/28700-34th-Ave-S-98001/unit-M-3/home/175634072,NWMLS as Distributed by MLS Grid,2195712,N,Y,47.3449735,-122.2893657,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,February-19-2010,Single Family Residential,3414 S 283rd Ln,Auburn,WA,98001,599000.0,3.0,2.5,West Hill,1599.0,,2003.0,19.0,375.0,148.0,Pending,,,https://www.redfin.com/WA/Auburn/3414-S-283rd-Ln-98001/home/22083939,NWMLS as Distributed by MLS Grid,2227709,N,Y,47.3477882,-122.2900891,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,,Single Family Residential,29382 58th Ct S,Auburn,WA,98001,819950.0,4.0,2.5,West Hill,2414.0,5872.0,2024.0,1.0,340.0,97.0,Pending,,,https://www.redfin.com/WA/Auburn/29382-58th-Ct-S-98001/home/189908822,NWMLS as Distributed by MLS Grid,2203868,N,Y,47.3268517,-122.2617182,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,,Single Family Residential,29391 58th Ct S,Auburn,WA,98001,860675.0,5.0,3.5,West Hill,2853.0,6804.0,2023.0,127.0,302.0,97.0,Pending,,,https://www.redfin.com/WA/Auburn/29391-58th-Ct-S-98001/home/189123695,NWMLS as Distributed by MLS Grid,2189261,N,Y,47.3268517,-122.2617182,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,,Single Family Residential,29364 58th Ct S,Auburn,WA,98001,879950.0,5.0,3.0,West Hill,2904.0,5446.0,2024.0,1.0,303.0,97.0,Pending,,,https://www.redfin.com/WA/Auburn/29364-58th-Ct-S-98001/home/189466034,NWMLS as Distributed by MLS Grid,2192800,N,Y,47.3268517,-122.2617182,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,,Single Family Residential,29340 58th Ct S,Auburn,WA,98001,782700.0,4.0,2.5,West Hill,2039.0,4556.0,2024.0,1.0,384.0,92.0,Pending,,,https://www.redfin.com/WA/Auburn/29340-58th-Ct-S-98001/home/184532668,NWMLS as Distributed by MLS Grid,2199161,N,Y,47.3268517,-122.2617182,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,,Single Family Residential,29397 58th Ct S,Auburn,WA,98001,865950.0,5.0,3.5,West Hill,2603.0,8261.0,2023.0,112.0,333.0,97.0,Pending,,,https://www.redfin.com/WA/Auburn/29397-58th-Ct-S-98001/home/189517975,NWMLS as Distributed by MLS Grid,2193836,N,Y,47.3268517,-122.2617182,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,,Single Family Residential,29360 58th Ct S,Auburn,WA,98001,809950.0,5.0,3.0,West Hill,2394.0,4951.0,2024.0,99.0,338.0,97.0,Pending,,,https://www.redfin.com/WA/Auburn/29360-58th-Ct-S-98001/home/189667991,NWMLS as Distributed by MLS Grid,2197150,N,Y,47.3268517,-122.2617182,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,,Parking,2131 E St NE #306,Auburn,WA,98001,295000.0,1.0,0.5,Auburn,1000.0,,2003.0,1.0,295.0,300.0,Active,,,https://www.redfin.com/WA/Auburn/2131-E-St-NE-98002/unit-306/home/2080212,NWMLS as Distributed by MLS Grid,2239271,N,Y,47.3261277,-122.2243591,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,,Single Family Residential,30160 65th Ave S,Auburn,WA,98001,968000.0,4.0,3.0,West Hill,3341.0,6129.0,2018.0,1.0,290.0,40.0,Active,May-18-2024 01:00 PM,May-18-2024 03:00 PM,https://www.redfin.com/WA/Auburn/30160-65th-Ave-S-98001/home/145188727,NWMLS as Distributed by MLS Grid,2237156,N,Y,47.3327835,-122.2542825,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,,Single Family Residential,33614 57th Ave S,Auburn,WA,98001,824500.0,4.0,2.5,East Auburn,2420.0,9017.0,2013.0,1.0,341.0,67.0,Active,May-18-2024 11:00 AM,May-18-2024 01:00 PM,https://www.redfin.com/WA/Auburn/33614-57th-Ave-S-98001/home/39904936,NWMLS as Distributed by MLS Grid,2215058,N,Y,47.3002672,-122.2635282,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,,Single Family Residential,28431 50th Ave S,Auburn,WA,98001,559950.0,3.0,2.0,West Hill,1725.0,9800.0,1966.0,1.0,325.0,,Active,,,https://www.redfin.com/WA/Auburn/28431-50th-Ave-S-98001/home/209009,NWMLS as Distributed by MLS Grid,2238756,N,Y,47.3461218,-122.2715467,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,,Single Family Residential,4419 S 330th Pl,Federal Way,WA,98001,700000.0,4.0,2.0,North Lake,1706.0,5715.0,2012.0,1.0,410.0,50.0,Active,May-18-2024 12:30 PM,May-18-2024 02:30 PM,https://www.redfin.com/WA/Federal-Way/4419-S-330th-Pl-98001/home/28624366,NWMLS as Distributed by MLS Grid,2236049,N,Y,47.3052658,-122.2771747,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,,Single Family Residential,2431 T St NW,Auburn,WA,98001,689000.0,5.0,3.0,West Auburn,2410.0,11249.0,1985.0,1.0,286.0,,Active,May-18-2024 11:00 AM,May-18-2024 01:00 PM,https://www.redfin.com/WA/Auburn/2431-T-St-NW-98001/home/210386,NWMLS as Distributed by MLS Grid,2238796,N,Y,47.329436,-122.2568082,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,,Single Family Residential,35432 44th Ave S,Auburn,WA,98001,860000.0,4.0,2.0,Federal Way,2152.0,37368.0,1977.0,1.0,400.0,,Active,May-17-2024 03:00 PM,May-17-2024 06:00 PM,https://www.redfin.com/WA/Auburn/35432-44th-Ave-S-98001/home/363706,NWMLS as Distributed by MLS Grid,2238562,N,Y,47.2834162,-122.2786985,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,December-10-2013,Single Family Residential,37450 49th Ave S,Auburn,WA,98001,629950.0,3.0,2.0,5 Mile Lake,1620.0,36000.0,1968.0,1.0,389.0,,Pending,,,https://www.redfin.com/WA/Auburn/37450-49th-Ave-S-98001/home/364518,NWMLS as Distributed by MLS Grid,2230005,N,Y,47.2649268,-122.2735599,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,,Single Family Residential,31004 Military Rd S,Auburn,WA,98001,675000.0,4.0,1.5,Lake Dolloff,2580.0,48446.0,1943.0,1.0,262.0,,Pending,,,https://www.redfin.com/WA/Auburn/31004-Military-Rd-S-98001/home/212910,NWMLS as Distributed by MLS Grid,2203720,N,Y,47.3247929,-122.289396,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,,Single Family Residential,29383 58th Ct S,Auburn,WA,98001,885675.0,5.0,3.5,West Hill,2853.0,6097.0,2024.0,1.0,310.0,97.0,Active,,,https://www.redfin.com/WA/Auburn/29383-58th-Ct-S-98001/home/190805555,NWMLS as Distributed by MLS Grid,2238224,N,Y,47.3268565,-122.2617113,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,,Single Family Residential,3243 S 291st St,Auburn,WA,98001,654000.0,4.0,2.5,Auburn,1660.0,7740.0,1966.0,1.0,394.0,,Active,,,https://www.redfin.com/WA/Auburn/3243-S-291st-St-98001/home/211376,NWMLS as Distributed by MLS Grid,2236670,N,Y,47.3405338,-122.2897037,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,,Vacant Land,32534 44th Ave S,Federal Way,WA,98001,135000.0,,,Federal Way,,9800.0,,1.0,,,Active,,,https://www.redfin.com/WA/Federal-Way/32534-44th-Ave-S-98001/home/22581349,NWMLS as Distributed by MLS Grid,2236086,N,Y,47.309399,-122.277966,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,November-29-2010,Mobile/Manufactured Home,106 2nd Ave S,Algona,WA,98001,399950.0,3.0,2.0,Algona,1484.0,14400.0,1983.0,2.0,270.0,,Pending,,,https://www.redfin.com/WA/Algona/106-2nd-Ave-S-98001/home/2085650,NWMLS as Distributed by MLS Grid,2232647,N,Y,47.2776242,-122.2554951,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,,Single Family Residential,5109 S 249th Ct #1,Auburn,WA,98001,809950.0,3.0,2.0,Auburn,1857.0,5484.0,2023.0,2.0,436.0,125.0,Pending,,,https://www.redfin.com/WA/Auburn/5109-S-249th-CT-98001/unit-1/home/190122749,NWMLS as Distributed by MLS Grid,2208660,N,Y,47.338365,-122.270606,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,,Single Family Residential,4030 S 296th St,Auburn,WA,98001,570000.0,4.0,2.0,West Hill,1250.0,7200.0,1968.0,2.0,456.0,,Active,May-18-2024 11:00 AM,May-18-2024 02:00 PM,https://www.redfin.com/WA/Auburn/4030-S-296th-St-98001/home/211589,NWMLS as Distributed by MLS Grid,2237758,N,Y,47.3371473,-122.2826137,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,August-12-2013,Single Family Residential,33 1st Ave N,Algona,WA,98001,385000.0,3.0,2.0,Algona,1260.0,12400.0,1930.0,3.0,306.0,,Pending,,,https://www.redfin.com/WA/Algona/33-1st-Ave-N-98001/home/365197,NWMLS as Distributed by MLS Grid,2237131,N,Y,47.279455,-122.2569946,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,September-29-2016,Single Family Residential,4925 S 313th Pl,Auburn,WA,98001,685000.0,3.0,3.0,West Hill,2062.0,13233.0,1988.0,4.0,332.0,30.0,Pending,,,https://www.redfin.com/WA/Auburn/4925-S-313th-Pl-98001/home/212529,NWMLS as Distributed by MLS Grid,2224345,N,Y,47.3206547,-122.2720557,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,,Single Family Residential,4451 S 350th St,Auburn,WA,98001,650000.0,3.0,2.0,Lake Geneva,1470.0,9754.0,1963.0,4.0,442.0,,Pending,,,https://www.redfin.com/WA/Auburn/4451-S-350th-St-98001/home/363809,NWMLS as Distributed by MLS Grid,2221533,N,Y,47.287538,-122.2778967,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,August-19-2016,Single Family Residential,5682 S 328th Pl,Auburn,WA,98001,899950.0,4.0,2.5,West Hill,2860.0,6022.0,2015.0,4.0,315.0,54.0,Pending,,,https://www.redfin.com/WA/Auburn/5682-S-328th-Pl-98001/home/101611377,NWMLS as Distributed by MLS Grid,2232699,N,Y,47.3075769,-122.2647344,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,,Single Family Residential,29923 49th Ln S #19,Auburn,WA,98001,549000.0,3.0,2.5,West Hill,1560.0,192000.0,2004.0,4.0,352.0,125.0,Pending,,,https://www.redfin.com/WA/Auburn/29923-49th-Ln-S-98001/unit-19/home/190548486,NWMLS as Distributed by MLS Grid,2226149,N,Y,47.3341591,-122.2736863,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,October-4-1978,Mobile/Manufactured Home,215 8th Ave N,Algona,WA,98001,400000.0,3.0,2.0,Algona,1904.0,10000.0,1978.0,5.0,210.0,,Pending,,,https://www.redfin.com/WA/Algona/215-8th-Ave-N-98001/home/2080510,NWMLS as Distributed by MLS Grid,2230093,N,Y,47.2889613,-122.2531046,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,May-12-1992,Single Family Residential,4203 S 289th Pl,Auburn,WA,98001,484995.0,3.0,1.0,West Hill,870.0,7227.0,1965.0,6.0,557.0,,Pending,,,https://www.redfin.com/WA/Auburn/4203-S-289th-Pl-98001/home/211339,NWMLS as Distributed by MLS Grid,2236010,N,Y,47.3419725,-122.281078,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,February-27-2009,Single Family Residential,3416 S 368th Pl,Auburn,WA,98001,1425000.0,3.0,3.5,West Hill,2540.0,24480.0,2013.0,6.0,561.0,,Pending,,,https://www.redfin.com/WA/Auburn/3416-S-368th-Pl-98001/home/363599,NWMLS as Distributed by MLS Grid,2230716,N,Y,47.2704304,-122.2886148,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,November-14-1989,Single Family Residential,31483 55th Ave S,Auburn,WA,98001,550000.0,3.0,2.0,West Hill,1040.0,14850.0,1963.0,6.0,529.0,,Pending,,,https://www.redfin.com/WA/Auburn/31483-55th-Ave-S-98001/home/211681,NWMLS as Distributed by MLS Grid,2224637,N,Y,47.3191868,-122.2672075,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,June-9-2017,Single Family Residential,5745 S 300th Pl,Auburn,WA,98001,575950.0,3.0,2.0,Federal Way,1570.0,8023.0,1987.0,6.0,367.0,,Pending,,,https://www.redfin.com/WA/Auburn/5745-S-300th-Pl-98001/home/209634,NWMLS as Distributed by MLS Grid,2231787,N,Y,47.3326011,-122.261358,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,November-18-2011,Single Family Residential,34900 Military Rd S,Auburn,WA,98001,549950.0,3.0,1.5,Jovita Heights,1290.0,9600.0,1968.0,6.0,426.0,,Pending,,,https://www.redfin.com/WA/Auburn/34900-Military-Rd-S-98001/home/365085,NWMLS as Distributed by MLS Grid,2210325,N,Y,47.2884197,-122.2706374,11,1.4545454545454546,1.9962476547842405,28.96
MLS Listing,,Single Family Residential,1103 V St NW,Auburn,WA,98001,789000.0,4.0,2.5,Auburn,2510.0,8965.0,2002.0,6.0,314.0,25.0,Active,,,https://www.redfin.com/WA/Auburn/1103-V-St-NW-98001/home/344727,NWMLS as Distributed by MLS Grid,2236023,N,Y,47.3179122,-122.2586824,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,September-1-2020,Single Family Residential,35020 Military Rd S,Auburn,WA,98001,530000.0,3.0,2.0,Jovita Heights,1312.0,10234.0,1968.0,7.0,404.0,,Pending,,,https://www.redfin.com/WA/Auburn/35020-Military-Rd-S-98001/home/364561,NWMLS as Distributed by MLS Grid,2232031,N,Y,47.2874699,-122.2706831,11,1.4545454545454546,1.9962476547842405,28.96
PAST SALE,,Single Family Residential,210 6th Ave N,Algona,WA,98001,540000.0,3.0,3.0,Algona,1630.0,8000.0,1992.0,7.0,331.0,,Pending,,,https://www.redfin.com/WA/Algona/210-6th-Ave-N-98001/home/365160,NWMLS as Distributed by MLS Grid,2221932,N,Y,47.284594,-122.2538085,11,1.4545454545454546,1.9962476547842405,28.96
