,School_Name,Schooldigger_Rating,Zipcode
0,John J. Audubon Elementary,5,98052.0
1,Benjamin Rush Elementary,5,98052.0
2,Ready Start Preschool,5,98052.0
3,Horace Mann Elementary,5,98052.0
4,Redmond Elementary,5,98052.0
5,Redmond High School,5,98052.0
6,Redmond Middle School,5,98052.0
7,Rose Hill Middle School,5,98052.0
8,Contractual Schools,5,98052.0
9,Norman Rockwell Elementary,5,98052.0
10,Albert Einstein Elementary,5,98052.0
11,Stella Schola,5,98052.0
12,Clara Barton Elementary School,5,98052.0
13,Old Redmond Schoolhouse,5,98052.0
14,Sammamish River Valley Online School,4,98052.0
15,Sunrise Elementary,5,98052.0
16,Washington Network for Innovative Careers Skill Center,5,98052.0
