,School_Name,Schooldigger_Rating,Zipcode
0,Alexander Graham Bell Elementary,4,98033.0
1,Benjamin Franklin Elementary,5,98033.0
2,Kirkland Middle School,5,98033.0
3,Community School,4,98033.0
4,Lake Washington High School,5,98033.0
5,Lakeview Elementary,5,98033.0
6,Mark Twain Elementary,5,98033.0
7,Peter Kirk Elementary,5,98033.0
8,Rose Hill Elementary,5,98033.0
9,Emerson High School,3,98033.0
10,Northstar Middle School,5,98033.0
11,International Community School,5,98033.0
12,Emerson K-12,5,98033.0
