SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download",,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,4825 Terrace Dr NE,Seattle,WA,98105,369000,1,1,Bryant,605,,1949,1,610,438,Active,May-18-2024 12:00 PM,May-18-2024 02:00 PM,https://www.redfin.com/WA/Seattle/4825-Terrace-Dr-NE-98105/home/30679,NWMLS as Distributed by MLS Grid,2238843,N,Y,47.6638197,-122.2854241
PAST SALE,October-7-2014,Condo/Co-op,4343 Roosevelt Way NE #601,Seattle,WA,98105,600000,2,2,University District,1015,,1996,13,591,887,Pending,,,https://www.redfin.com/WA/Seattle/4343-Roosevelt-Way-NE-98105/unit-601/home/35974,NWMLS as Distributed by MLS Grid,2228913,N,Y,47.6606289,-122.3180337
MLS Listing,,Single Family Residential,5531 28th Ave NE,Seattle,WA,98105,1199000,4,2,Ravenna,2030,3697,1926,29,591,,Active,May-19-2024 02:00 PM,May-19-2024 04:00 PM,https://www.redfin.com/WA/Seattle/5531-28th-Ave-NE-98105/home/312507,NWMLS as Distributed by MLS Grid,2217966,N,Y,47.6694701,-122.2975179
PAST SALE,,Townhouse,4025 2nd Ave NE,Seattle,WA,98105,849950,2,2.5,Wallingford,1200,1200,2024,1,708,1,Pending,,,https://www.redfin.com/WA/Seattle/4025-2nd-Ave-NE-98105/home/190707001,NWMLS as Distributed by MLS Grid,2232849,N,Y,47.6563165,-122.3271087
PAST SALE,,Townhouse,4027 2nd Ave NE,Seattle,WA,98105,1850000,5,3.5,Wallingford,2658,1200,2024,10,696,1,Pending,,,https://www.redfin.com/WA/Seattle/4027-2nd-Ave-NE-98105/home/190707609,NWMLS as Distributed by MLS Grid,2232874,N,Y,47.6563747,-122.3271079
MLS Listing,,Single Family Residential,3826 43rd Ave NE,Seattle,WA,98105,3025000,5,3.5,Laurelhurst,3930,6000,1929,1,770,,Active,,,https://www.redfin.com/WA/Seattle/3826-43rd-Ave-NE-98105/home/122116,NWMLS as Distributed by MLS Grid,2238383,N,Y,47.6566188,-122.2810018
MLS Listing,,Multi-Family (2-4 Unit),4716 7TH Ave NE,Seattle,WA,98105,990000,5,1.75,University District,2130,4280,1921,1,465,,Active,,,https://www.redfin.com/WA/Seattle/4716-7th-Ave-NE-98105/home/311501,NWMLS as Distributed by MLS Grid,2236382,N,Y,47.6636586,-122.3204345
MLS Listing,,Condo/Co-op,"4015 NE 56th St Unit A,B",Seattle,WA,98105,2749000,4,5,Hawthorne Hills,3857,,2023,1,713,114,Active,May-18-2024 10:00 AM,May-18-2024 01:00 PM,https://www.redfin.com/WA/Seattle/4015-NE-56th-St-98105/unit-A-B/home/186070255,NWMLS as Distributed by MLS Grid,2238442,N,Y,47.6692734,-122.2840762
MLS Listing,,Single Family Residential,5022 35th Ave NE,Seattle,WA,98105,850000,5,2,Bryant,1960,2112,1921,1,434,,Active,,,https://www.redfin.com/WA/Seattle/5022-35th-Ave-NE-98105/home/314082,NWMLS as Distributed by MLS Grid,2237575,N,Y,47.6655887,-122.2899379
MLS Listing,,Single Family Residential,5601 8th Ave NE,Seattle,WA,98105,820000,2,1,Roosevelt,2140,4300,1923,1,383,,Active,May-18-2024 12:00 AM,May-18-2024 11:59 PM,https://www.redfin.com/WA/Seattle/5601-8th-Ave-NE-98105/home/312072,NWMLS as Distributed by MLS Grid,2236520,N,Y,47.6695037,-122.3203467
MLS Listing,,Condo/Co-op,4547 8th Ave NE #303,Seattle,WA,98105,350000,1,1,University District,472,,2008,1,742,584,Active,,,https://www.redfin.com/WA/Seattle/4547-8th-Ave-NE-98105/unit-303/home/21883077,NWMLS as Distributed by MLS Grid,2237599,N,Y,47.6628143,-122.3199182
MLS Listing,,Single Family Residential,5505 Coniston Rd NE,Seattle,WA,98105,2225000,5,3,Windermere,3980,11232,1960,1,559,,Active,May-17-2024 05:00 PM,May-17-2024 07:00 PM,https://www.redfin.com/WA/Seattle/5505-Coniston-Rd-NE-98105/home/120547,NWMLS as Distributed by MLS Grid,2235774,N,Y,47.6690152,-122.2719583
MLS Listing,,Single Family Residential,4747 2nd Ave NE,Seattle,WA,98105,1350000,3,2.5,Wallingford,2520,4086,1917,1,536,,Active,May-17-2024 04:00 PM,May-17-2024 06:00 PM,https://www.redfin.com/WA/Seattle/4747-2nd-Ave-NE-98105/home/118863,NWMLS as Distributed by MLS Grid,2237251,N,Y,47.6645399,-122.3275676
MLS Listing,,Single Family Residential,4556 Purdue Ave NE,Seattle,WA,98105,1850000,4,3.5,Hawthorne Hills,2743,6930,1947,2,674,,Active,May-17-2024 04:30 PM,May-17-2024 06:30 PM,https://www.redfin.com/WA/Seattle/4556-Purdue-Ave-NE-98105/home/320394,NWMLS as Distributed by MLS Grid,2233568,N,Y,47.6704314,-122.2775377
PAST SALE,,Single Family Residential,5217 NE 43rd St,Seattle,WA,98105,1950000,3,2,Laurelhurst,1750,10094,1908,2,1114,,Pending,,,https://www.redfin.com/WA/Seattle/5217-NE-43rd-St-98105/home/122026,NWMLS as Distributed by MLS Grid,2230843,N,Y,47.6592462,-122.2712839
