SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-14-1991,Single Family Residential,4442 S 351st St,Auburn,WA,98001,549950,3,2,Auburn,1340,9600,1964,13,410,,Pending,,,https://www.redfin.com/WA/Auburn/4442-S-351st-St-98001/home/362753,NWMLS as Distributed by MLS Grid,2221171,N,Y,47.2872068,-122.2781383
MLS Listing,,Condo/Co-op,28700 34th Ave S Unit M-3,Auburn,WA,98001,455000,2,2,Auburn,1280,,2003,15,355,325,Active,,,https://www.redfin.com/WA/Auburn/28700-34th-Ave-S-98001/unit-M-3/home/175634072,NWMLS as Distributed by MLS Grid,2195712,N,Y,47.3449735,-122.2893657
PAST SALE,February-19-2010,Single Family Residential,3414 S 283rd Ln,Auburn,WA,98001,599000,3,2.5,West Hill,1599,,2003,19,375,148,Pending,,,https://www.redfin.com/WA/Auburn/3414-S-283rd-Ln-98001/home/22083939,NWMLS as Distributed by MLS Grid,2227709,N,Y,47.3477882,-122.2900891
PAST SALE,,Single Family Residential,29382 58th Ct S,Auburn,WA,98001,819950,4,2.5,West Hill,2414,5872,2024,1,340,97,Pending,,,https://www.redfin.com/WA/Auburn/29382-58th-Ct-S-98001/home/189908822,NWMLS as Distributed by MLS Grid,2203868,N,Y,47.3268517,-122.2617182
PAST SALE,,Single Family Residential,29391 58th Ct S,Auburn,WA,98001,860675,5,3.5,West Hill,2853,6804,2023,127,302,97,Pending,,,https://www.redfin.com/WA/Auburn/29391-58th-Ct-S-98001/home/189123695,NWMLS as Distributed by MLS Grid,2189261,N,Y,47.3268517,-122.2617182
PAST SALE,,Single Family Residential,29364 58th Ct S,Auburn,WA,98001,879950,5,3,West Hill,2904,5446,2024,1,303,97,Pending,,,https://www.redfin.com/WA/Auburn/29364-58th-Ct-S-98001/home/189466034,NWMLS as Distributed by MLS Grid,2192800,N,Y,47.3268517,-122.2617182
PAST SALE,,Single Family Residential,29340 58th Ct S,Auburn,WA,98001,782700,4,2.5,West Hill,2039,4556,2024,1,384,92,Pending,,,https://www.redfin.com/WA/Auburn/29340-58th-Ct-S-98001/home/184532668,NWMLS as Distributed by MLS Grid,2199161,N,Y,47.3268517,-122.2617182
PAST SALE,,Single Family Residential,29397 58th Ct S,Auburn,WA,98001,865950,5,3.5,West Hill,2603,8261,2023,112,333,97,Pending,,,https://www.redfin.com/WA/Auburn/29397-58th-Ct-S-98001/home/189517975,NWMLS as Distributed by MLS Grid,2193836,N,Y,47.3268517,-122.2617182
PAST SALE,,Single Family Residential,29360 58th Ct S,Auburn,WA,98001,809950,5,3,West Hill,2394,4951,2024,99,338,97,Pending,,,https://www.redfin.com/WA/Auburn/29360-58th-Ct-S-98001/home/189667991,NWMLS as Distributed by MLS Grid,2197150,N,Y,47.3268517,-122.2617182
MLS Listing,,Parking,2131 E St NE #306,Auburn,WA,98002,295000,1,0.5,Auburn,1000,,2003,1,295,300,Active,,,https://www.redfin.com/WA/Auburn/2131-E-St-NE-98002/unit-306/home/2080212,NWMLS as Distributed by MLS Grid,2239271,N,Y,47.3261277,-122.2243591
MLS Listing,,Single Family Residential,30160 65th Ave S,Auburn,WA,98001,968000,4,3,West Hill,3341,6129,2018,1,290,40,Active,May-18-2024 01:00 PM,May-18-2024 03:00 PM,https://www.redfin.com/WA/Auburn/30160-65th-Ave-S-98001/home/145188727,NWMLS as Distributed by MLS Grid,2237156,N,Y,47.3327835,-122.2542825
MLS Listing,,Single Family Residential,33614 57th Ave S,Auburn,WA,98001,824500,4,2.5,East Auburn,2420,9017,2013,1,341,67,Active,May-18-2024 11:00 AM,May-18-2024 01:00 PM,https://www.redfin.com/WA/Auburn/33614-57th-Ave-S-98001/home/39904936,NWMLS as Distributed by MLS Grid,2215058,N,Y,47.3002672,-122.2635282
MLS Listing,,Single Family Residential,28431 50th Ave S,Auburn,WA,98001,559950,3,2,West Hill,1725,9800,1966,1,325,,Active,,,https://www.redfin.com/WA/Auburn/28431-50th-Ave-S-98001/home/209009,NWMLS as Distributed by MLS Grid,2238756,N,Y,47.3461218,-122.2715467
MLS Listing,,Single Family Residential,4419 S 330th Pl,Federal Way,WA,98001,700000,4,2,North Lake,1706,5715,2012,1,410,50,Active,May-18-2024 12:30 PM,May-18-2024 02:30 PM,https://www.redfin.com/WA/Federal-Way/4419-S-330th-Pl-98001/home/28624366,NWMLS as Distributed by MLS Grid,2236049,N,Y,47.3052658,-122.2771747
MLS Listing,,Single Family Residential,2431 T St NW,Auburn,WA,98001,689000,5,3,West Auburn,2410,11249,1985,1,286,,Active,May-18-2024 11:00 AM,May-18-2024 01:00 PM,https://www.redfin.com/WA/Auburn/2431-T-St-NW-98001/home/210386,NWMLS as Distributed by MLS Grid,2238796,N,Y,47.329436,-122.2568082
MLS Listing,,Single Family Residential,35432 44th Ave S,Auburn,WA,98001,860000,4,2,Federal Way,2152,37368,1977,1,400,,Active,May-17-2024 03:00 PM,May-17-2024 06:00 PM,https://www.redfin.com/WA/Auburn/35432-44th-Ave-S-98001/home/363706,NWMLS as Distributed by MLS Grid,2238562,N,Y,47.2834162,-122.2786985
PAST SALE,December-10-2013,Single Family Residential,37450 49th Ave S,Auburn,WA,98001,629950,3,2,5 Mile Lake,1620,36000,1968,1,389,,Pending,,,https://www.redfin.com/WA/Auburn/37450-49th-Ave-S-98001/home/364518,NWMLS as Distributed by MLS Grid,2230005,N,Y,47.2649268,-122.2735599
PAST SALE,,Single Family Residential,31004 Military Rd S,Auburn,WA,98001,675000,4,1.5,Lake Dolloff,2580,48446,1943,1,262,,Pending,,,https://www.redfin.com/WA/Auburn/31004-Military-Rd-S-98001/home/212910,NWMLS as Distributed by MLS Grid,2203720,N,Y,47.3247929,-122.289396
MLS Listing,,Single Family Residential,29383 58th Ct S,Auburn,WA,98001,885675,5,3.5,West Hill,2853,6097,2024,1,310,97,Active,,,https://www.redfin.com/WA/Auburn/29383-58th-Ct-S-98001/home/190805555,NWMLS as Distributed by MLS Grid,2238224,N,Y,47.3268565,-122.2617113
