,School_Name,Schooldigger_Rating,Zipcode
0,Daniel Bagley Elementary School,5,98103
1,B F Day Elementary School,5,98103
2,Green Lake Elementary School,4,98103
3,Hamilton International Middle School,5,98103
4,Cascadia Elementary,5,98103
5,Robert Eagle Staff Middle School,5,98103
6,Lincoln High School,5,98103
7,Rock Creek Elementary,5,98038
8,Glacier Park Elementary,4,98038
9,Lake Wilderness Elementary,4,98038
10,Shadow Lake Elementary,4,98038
11,Tahoma Senior High School,5,98038
12,Tahoma Elementary,4,98038
13,Cedar River Elementary,5,98038
14,Tahoma Open Doors,5,98038
15,Bryant Elementary School,5,98115
16,Eckstein Middle School,5,98115
17,Loyal Heights Elementary School,4,98115
18,Olympic View Elementary School,3,98115
19,Roosevelt High School,5,98115
20,Sacajawea Elementary School,3,98115
21,Thornton Creek Elementary School,5,98115
22,View Ridge Elementary School,5,98115
23,Wedgwood Elementary School,5,98115
24,Sand Point Elementary,3,98115
25,Stephen Decatur Elementary School,5,98115
26,John J. Audubon Elementary,5,98052
27,Benjamin Rush Elementary,5,98052
28,Ready Start Preschool,5,98052
29,Horace Mann Elementary,5,98052
30,Redmond Elementary,5,98052
31,Redmond High School,5,98052
32,Redmond Middle School,5,98052
33,Rose Hill Middle School,5,98052
34,Contractual Schools,5,98052
35,Norman Rockwell Elementary,5,98052
36,Albert Einstein Elementary,5,98052
37,Stella Schola,5,98052
38,Clara Barton Elementary School,5,98052
39,Old Redmond Schoolhouse,5,98052
40,Sammamish River Valley Online School,4,98052
41,Sunrise Elementary,5,98052
42,Washington Network for Innovative Careers Skill Center,5,98052
43,Licton Springs K-8,5,98117
44,Ballard High School,4,98117
45,Greenwood Elementary School,5,98117
46,North Beach Elementary School,5,98117
47,Whitman Middle School,5,98117
48,Whittier Elementary School,5,98117
49,Salmon Bay K-8 School,4,98117
50,Meridian Elementary School,2,98042
51,Sunrise Elementary School,4,98042
52,Horizon Elementary School,2,98042
53,Kentlake High School,3,98042
54,Maple View Middle School,4,98042
55,Cedar Valley Elementary School,1,98042
56,Covington Elementary School,3,98042
57,Grass Lake Elementary School,4,98042
58,Cedar Heights Middle School,2,98042
59,Crestwood Elementary School,3,98042
60,Mattson Middle School,3,98042
61,Kentwood High School,3,98042
62,Jenkins Creek Elementary School,2,98042
63,Lake Washington Technical Academy,5,98034
64,Open Doors at LWIT,5,98034
65,Carl Sandburg Elementary,5,98034
66,Finn Hill Middle School,4,98034
67,Helen Keller Elementary,4,98034
68,John Muir Elementary,3,98034
69,Juanita Elementary,4,98034
70,Juanita High School,5,98034
71,Kamiakin Middle School,4,98034
72,Robert Frost Elementary,4,98034
73,Henry David Thoreau Elementary,5,98034
74,Discovery Community School,5,98034
75,Environmental & Adventure School,5,98034
76,Futures School,5,98034
77,Rainier Valley Leadership Academy,5,98118
78,Martin Luther King Junior Elementary School,1,98118
79,Dunlap Elementary School,1,98118
80,Emerson Elementary School,0,98118
81,Graham Hill Elementary School,2,98118
82,Alan T. Sugiyama High School,5,98118
83,Rainier Beach High School,1,98118
84,Aki Kurose Middle School,2,98118
85,Rising Star Elementary School,2,98118
86,Wing Luke Elementary School,3,98118
87,Orca K-8 School,3,98118
88,Hawthorne Elementary School,4,98118
89,South Shore Pk-8 School,2,98118
90,Interagency Open Doors,5,98118
91,Adelaide Elementary School,1,98023
92,Brigadoon Elementary School,2,98023
93,Decatur High School,1,98023
94,Lake Grove Elementary School,1,98023
95,Lakota Middle School,1,98023
96,Olympic View Elementary School,0,98023
97,Twin Lakes Elementary School,3,98023
98,Green Gables Elementary School,2,98023
99,Enterprise Elementary School,1,98023
100,Silver Lake Elementary School,1,98023
101,Sherwood Forest Elementary School,1,98023
102,Employment Transition Program,5,98023
103,Birth to Three Development Center,5,98023
104,Technology Access Foundation Academy at Saghalie,1,98023
105,Eastgate Elementary School,4,98006
106,Newport Heights Elementary,5,98006
107,Newport Senior High School,5,98006
108,Somerset Elementary School,5,98006
109,Puesta del Sol Elementary School,4,98006
110,Tyee Middle School,5,98006
111,Jing Mei Elementary School,5,98006
112,Cougar Ridge Elementary,5,98006
113,Broadview-Thomson K-8 School,2,98133
114,Ingraham High School,4,98133
115,Northgate Elementary School,3,98133
116,Meridian Park Elementary School,5,98133
117,Echo Lake Elementary School,3,98133
118,Parkwood Elementary,4,98133
119,Shorewood High School,5,98133
120,Edwin Pratt Learning Center,5,98133
121,Maplewood Heights Elementary School,4,98059
122,Hazen Senior High School,4,98059
123,Sierra Heights Elementary School,2,98059
124,Honey Dew Elementary,1,98059
125,Apollo Elementary,5,98059
126,Briarwood Elementary,5,98059
127,Liberty Senior High School,5,98059
128,Maple Hills Elementary,5,98059
129,Maywood Middle School,5,98059
130,Newcastle Elementary School,5,98059
131,Benson Hill Elementary School,1,98058
132,Cascade Elementary School,1,98058
133,Lindbergh Senior High School,2,98058
134,Renton Park Elementary School,0,98058
135,Tiffany Park Elementary School,2,98058
136,Fairwood Elementary School,2,98058
137,Lake Youngs Elementary School,4,98058
138,Meeker Middle School,2,98058
139,Ridgewood Elementary School,4,98058
140,Carriage Crest Elementary School,4,98058
141,Northwood Middle School,4,98058
142,Briarcrest Elementary,4,98155
143,Brookside Elementary,4,98155
144,Kellogg Middle School,4,98155
145,Lake Forest Park Elementary,4,98155
146,Ridgecrest Elementary,4,98155
147,Shorecrest High School,4,98155
148,Handicapped Contractual Services,5,98155
149,Home Education Exchange,4,98155
150,Fircrest Residential Habilitation,5,98155
151,Cascade K-8 Community School,5,98155
152,Eastlake High School,5,98074
153,Margaret Mead Elementary,5,98074
154,Samantha Smith Elementary,5,98074
155,Christa Mcauliffe Elementary,5,98074
156,Inglewood Middle School,5,98074
157,Elizabeth Blackwell Elementary,5,98074
158,Renaissance School of Art and Reasoning,5,98074
159,Rachel Carson Elementary,5,98074
160,Alexander Graham Bell Elementary,4,98033
161,Benjamin Franklin Elementary,5,98033
162,Kirkland Middle School,5,98033
163,Community School,4,98033
164,Lake Washington High School,5,98033
165,Lakeview Elementary,5,98033
166,Mark Twain Elementary,5,98033
167,Peter Kirk Elementary,5,98033
168,Rose Hill Elementary,5,98033
