,School_Name,Schooldigger_Rating,Zipcode
0,Dynamic Family Services,5,98030.0
1,Kent-Meridian High School,1,98030.0
2,Pine Tree Elementary School,1,98030.0
3,Scenic Hill Elementary School,1,98030.0
4,George T. Daniel Elementary School,1,98030.0
5,Meadow Ridge Elementary School,1,98030.0
6,Martin Sortun Elementary School,4,98030.0
7,Millennium Elementary School,1,98030.0
8,Birth to Age 2,5,98030.0
9,Individualized Graduation & Degree Program,5,98030.0
10,The Outreach Program,5,98030.0
11,Kent Virtual Academy,0,98030.0
